metadata: deco UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: decoration,overview: description,overview: type,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: dedicatee name(s),people: dedicatee ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: other name(s),people: other ID(s),orgs: name(s),orgs: ID(s),places: name(s),places: ID(s),bibliography: bibl(s),bibliography: ref(s),bibliography: ref URI(s)
MS_Add_A_2_deco_1,manuscript_39,Add_A,MS_Add_A_2,MS. Add. A. 2,manuscript,,MS_Add_A_2,Pächt and Alexander ii. 820,Geometric diagram with walled city and boat on water,diagram,fol. 10r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_6_deco_1,manuscript_70,Add_A,MS_Add_A_6,MS. Add. A. 6,manuscript,,MS_Add_A_6,,Numerous diagrams,diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_7_deco_1,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,part,MS. Add. A. 7 – Part 1,MS_Add_A_7-part1,Pächt and Alexander ii. 164,Hybrid figures and grotesques,border,fol. 1r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_7_deco_2,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,part,MS. Add. A. 7 – Part 1,MS_Add_A_7-part1,Pächt and Alexander ii. 164,Good initial,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_7_deco_3,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,part,MS. Add. A. 7 – Part 2,MS_Add_A_7-part2,Pächt and Alexander ii. 57,Unfinished initial with acanthus-leaf designs,decInit,fol. 46r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_7_deco_4,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,part,MS. Add. A. 7 – Part 3,MS_Add_A_7-part3,,Red and blue initials with contrasting penwork,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_8_deco_1,manuscript_74,Add_A,MS_Add_A_8,MS. Add. A. 8,manuscript,,MS_Add_A_8,Pächt and Alexander ii. 471,Fine border,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_8_deco_2,manuscript_74,Add_A,MS_Add_A_8,MS. Add. A. 8,manuscript,,MS_Add_A_8,Pächt and Alexander ii. 471,"Portrait of the author in monastic habit, kneeling, hands joined in prayer",histInit,fol. 1r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_8_deco_3,manuscript_74,Add_A,MS_Add_A_8,MS. Add. A. 8,manuscript,,MS_Add_A_8,Pächt and Alexander ii. 471,"Fine initials. 6-line initials on gold background, decorated with floral and geometric designs",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_8_deco_4,manuscript_74,Add_A,MS_Add_A_8,MS. Add. A. 8,manuscript,,MS_Add_A_8,Pächt and Alexander ii. 471,3-line red and blue initials with contrasting penwork,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
